circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr10:115120185|115129535	chr10	115120185	115129535	64	12_15_2	58	0.688	exon	ENSG00000107518.16,	+	SRR3479243.40433,SRR3479243.209948,SRR3479243.453651,SRR3479243.814152,SRR3479243.996963,SRR3479243.1420830,SRR3479243.2300305,SRR3479243.2350185,SRR3479243.2561118,SRR3479243.2792095,SRR3479243.12938670,SRR3479243.13119056,SRR3479243.13855219,SRR3479243.14001857,SRR3479243.14126100,SRR3479243.14162702,SRR3479243.14519764,SRR3479243.17061827,SRR3479243.18188786,SRR3479243.18573157,SRR3479243.21961500,SRR3479243.22087387,SRR3479243.22965310,SRR3479243.24114481,SRR3479243.6368234,SRR3479243.6410552,SRR3479243.8152197,SRR3479243.8264027,SRR3479243.8456266,SRR3479243.9077065,SRR3479243.19253823,SRR3479243.19468859,SRR3479243.20394647,SRR3479243.21623841,SRR3479243.25217135,SRR3479243.25276678,SRR3479243.26015667,SRR3479243.26067307,SRR3479243.26071807,SRR3479243.26297986,SRR3479243.26918628,SRR3479243.27285393,SRR3479243.27507429,SRR3479243.27543422,SRR3479243.27688446,SRR3479243.9563507,SRR3479243.9956348,SRR3479243.11064406,SRR3479243.12095004,SRR3479243.12118370,SRR3479243.12208023,SRR3479243.3182075,SRR3479243.3193377,SRR3479243.3243676,SRR3479243.3343030,SRR3479243.3476593,SRR3479243.3995537,SRR3479243.4168913,SRR3479243.4974200,SRR3479243.5488191,SRR3479243.28092378,SRR3479243.30150545,SRR3479243.14850503,SRR3479243.3986214,
chr10:115120185|115165645	chr10	115120185	115165645	2	2_0_2	83	0.046	exon	ENSG00000107518.16,	+	SRR3479243.23696023,SRR3479243.29983677,
chr10:115120185|115171292	chr10	115120185	115171292	7	3_4_1	37	0.275	exon	ENSG00000107518.16,	+	SRR3479243.17208662,SRR3479243.21850658,SRR3479243.7380152,SRR3479243.8644223,SRR3479243.25684035,SRR3479243.9695149,SRR3479243.28081614,
chr10:115120185|115215880	chr10	115120185	115215880	2	2_2_0	36	0.100	exon	ENSG00000107518.16,	+	SRR3479243.1156376,SRR3479243.16529706,
chr10:115215697|115315736	chr10	115215697	115315736	3	2_2_0	38	0.136	exon	ENSG00000107518.16,	+	SRR3479243.14999331,SRR3479243.7776828,SRR3479243.8316776,
chr10:115461941|115469329	chr10	115461941	115469329	9	7_7_0	38	0.321	exon	ENSG00000107518.16,	+	SRR3479243.14160748,SRR3479243.15493814,SRR3479243.15932032,SRR3479243.19079325,SRR3479243.19777007,SRR3479243.19996301,SRR3479243.10625762,SRR3479243.6050909,SRR3479243.29791987,
chr10:116089741|116096764	chr10	116089741	116096764	2	2_1_1	20	0.167	exon	ENSG00000151892.14,	-	SRR3479243.3252159,SRR3479243.28668372,
chr10:116906627|116921516	chr10	116906627	116921516	3	1_1_2	226	0.026	exon	ENSG00000283266.1,ENSG00000187164.18,	-	SRR3479243.21836486,SRR3479243.12973961,SRR3479243.25587378,
chr10:117485953|117486478	chr10	117485953	117486478	4	3_3_1	10	0.444	exon	ENSG00000229847.8,	-	SRR3479243.2181388,SRR3479243.9153638,SRR3479243.3453969,SRR3479243.7573545,
chr10:118038972|118040565	chr10	118038972	118040565	2	2_2_0	150	0.026	exon	ENSG00000107560.10,	-	SRR3479243.14783548,SRR3479243.24291756,
chr10:118701306|118730410	chr10	118701306	118730410	4	1_2_2	164	0.047	exon	ENSG00000151893.14,	-	SRR3479243.18340682,SRR3479243.27420502,SRR3479243.27638771,SRR3479243.6361023,
chr10:118729295|118730410	chr10	118729295	118730410	4	2_3_1	114	0.066	exon	ENSG00000151893.14,	-	SRR3479243.14333774,SRR3479243.17704592,SRR3479243.21576619,SRR3479243.11046422,
chr10:119073441|119073937	chr10	119073441	119073937	2	1_2_0	537	0.007	exon	ENSG00000107581.12,	-	SRR3479243.19164094,SRR3479243.6628065,
chr10:119515509|119527424	chr10	119515509	119527424	4	3_2_0	267	0.029	exon	ENSG00000148908.14,	-	SRR3479243.16139621,SRR3479243.26090763,SRR3479243.10270416,SRR3479243.12827845,
chr10:119575691|119580538	chr10	119575691	119580538	2	1_1_2	287	0.014	exon	ENSG00000151923.17,	-	SRR3479243.6259951,SRR3479243.9859629,
chr10:119838535|119842595	chr10	119838535	119842595	2	2_2_0	631	0.006	exon	ENSG00000197771.12,	-	SRR3479243.14404641,SRR3479243.24666575,
chr10:120513911|120521095	chr10	120513911	120521095	3	1_1_3	4	0.600	exon	ENSG00000203805.10,	+	SRR3479243.14537639,SRR3479243.7838723,SRR3479243.4571445,
chr10:121538592|121565704	chr10	121538592	121565704	10	5_7_3	38	0.345	exon	ENSG00000066468.21,	-	SRR3479243.1877518,SRR3479243.20710728,SRR3479243.21496421,SRR3479243.25117525,SRR3479243.11213164,SRR3479243.30798271,SRR3479243.24461377,SRR3479243.9139727,SRR3479243.25576806,SRR3479243.28577324,
chr10:121564502|121565704	chr10	121564502	121565704	7	1_4_5	43	0.246	exon	ENSG00000066468.21,	-	SRR3479243.1095119,SRR3479243.12553911,SRR3479243.13045821,SRR3479243.6807528,SRR3479243.31050941,SRR3479243.23180339,SRR3479243.12351847,
chr10:121899866|121926527	chr10	121899866	121926527	3	2_2_0	39	0.133	intergenic_region	n/a	-	SRR3479243.23899865,SRR3479243.23946117,SRR3479243.9973420,
chr10:124038515|124046724	chr10	124038515	124046724	4	3_4_0	22	0.267	exon	ENSG00000182022.17,	-	SRR3479243.3030397,SRR3479243.7372240,SRR3479243.10132103,SRR3479243.26181677,
chr10:124408542|124412200	chr10	124408542	124412200	3	2_3_0	284	0.021	exon	ENSG00000065154.11,	-	SRR3479243.21826581,SRR3479243.26996144,SRR3479243.17148924,
chr10:124681607|124682379	chr10	124681607	124682379	28	21_18_1	87	0.392	exon	ENSG00000258539.1,ENSG00000189319.13,	-	SRR3479243.480174,SRR3479243.1346689,SRR3479243.1420203,SRR3479243.12724898,SRR3479243.12879456,SRR3479243.16671072,SRR3479243.17581620,SRR3479243.18211344,SRR3479243.22368045,SRR3479243.23394789,SRR3479243.9002643,SRR3479243.20845529,SRR3479243.25619672,SRR3479243.26201747,SRR3479243.27042060,SRR3479243.27932641,SRR3479243.11315212,SRR3479243.11585218,SRR3479243.11923276,SRR3479243.12358037,SRR3479243.3245616,SRR3479243.3955031,SRR3479243.29452771,SRR3479243.29643567,SRR3479243.30312180,SRR3479243.30522699,SRR3479243.1711733,SRR3479243.18043822,
chr10:124681607|124696212	chr10	124681607	124696212	10	9_2_6	64	0.238	exon	ENSG00000258539.1,ENSG00000189319.13,	-	SRR3479243.13296795,SRR3479243.14021991,SRR3479243.18472334,SRR3479243.24151373,SRR3479243.6945880,SRR3479243.11531004,SRR3479243.5057938,SRR3479243.5867636,SRR3479243.669040,SRR3479243.14288111,
chr10:124706636|124706887	chr10	124706636	124706887	5	5_4_1	82	0.109	exon	ENSG00000258539.1,ENSG00000189319.13,	-	SRR3479243.26726148,SRR3479243.27256184,SRR3479243.10106690,SRR3479243.10741850,SRR3479243.4489453,
chr10:124940374|124943307	chr10	124940374	124943307	3	3_3_0	36	0.143	intergenic_region	n/a	+	SRR3479243.7327559,SRR3479243.9927767,SRR3479243.28446330,
chr10:124942457|124943307	chr10	124942457	124943307	29	15_14_0	46	0.558	exon	ENSG00000019995.6,	+	SRR3479243.12490816,SRR3479243.13514287,SRR3479243.14535707,SRR3479243.15612022,SRR3479243.16155249,SRR3479243.16804002,SRR3479243.17243748,SRR3479243.17280681,SRR3479243.18435253,SRR3479243.21923100,SRR3479243.23556297,SRR3479243.24650673,SRR3479243.7012015,SRR3479243.7700106,SRR3479243.8434101,SRR3479243.9127805,SRR3479243.18899372,SRR3479243.20286496,SRR3479243.20311961,SRR3479243.25688494,SRR3479243.26955353,SRR3479243.9754759,SRR3479243.11462915,SRR3479243.12324336,SRR3479243.5350679,SRR3479243.28755508,SRR3479243.28883941,SRR3479243.29533215,SRR3479243.29074619,
chr10:124942457|124966781	chr10	124942457	124966781	2	2_2_0	70	0.054	exon	ENSG00000019995.6,	+	SRR3479243.6716512,SRR3479243.5492582,
chr10:125038997|125111093	chr10	125038997	125111093	2	1_2_0	29	0.121	exon	ENSG00000175029.16,	-	SRR3479243.24248666,SRR3479243.25100253,
chr10:125038997|125133612	chr10	125038997	125133612	3	3_1_0	20	0.231	exon	ENSG00000175029.16,	-	SRR3479243.20380533,SRR3479243.23048508,SRR3479243.25915062,
chr10:125110990|125122868	chr10	125110990	125122868	8	5_6_2	12	0.571	exon	ENSG00000175029.16,	-	SRR3479243.582215,SRR3479243.22370194,SRR3479243.22490948,SRR3479243.23066152,SRR3479243.21119047,SRR3479243.10325009,SRR3479243.3174595,SRR3479243.26585300,
chr10:125110990|125133612	chr10	125110990	125133612	2	2_2_0	15	0.211	exon	ENSG00000175029.16,	-	SRR3479243.10058519,SRR3479243.10205947,
chr10:126970702|126990603	chr10	126970702	126990603	8	5_8_3	114	0.123	exon	ENSG00000150760.12,	+	SRR3479243.2323952,SRR3479243.13993237,SRR3479243.14273503,SRR3479243.16030066,SRR3479243.7345764,SRR3479243.9905868,SRR3479243.4326085,SRR3479243.29098170,
chr10:126970702|127000307	chr10	126970702	127000307	5	4_4_0	90	0.100	exon	ENSG00000150760.12,	+	SRR3479243.762574,SRR3479243.1677203,SRR3479243.23426593,SRR3479243.29916111,SRR3479243.30807116,
chr10:126970702|127043164	chr10	126970702	127043164	2	1_1_1	74	0.051	exon	ENSG00000150760.12,	+	SRR3479243.22060954,SRR3479243.10133933,
chr10:127052681|127061776	chr10	127052681	127061776	2	2_2_0	89	0.043	exon	ENSG00000150760.12,	+	SRR3479243.12521053,SRR3479243.28200292,
chr10:127061668|127110354	chr10	127061668	127110354	2	2_1_1	70	0.054	exon	ENSG00000150760.12,	+	SRR3479243.12781262,SRR3479243.12267429,
chr10:127125474|127127764	chr10	127125474	127127764	3	1_2_1	20	0.231	exon	ENSG00000150760.12,	+	SRR3479243.18317557,SRR3479243.7105172,SRR3479243.8341682,
chr10:131940031|131947791	chr10	131940031	131947791	2	1_2_0	152	0.026	exon	ENSG00000175470.18,	+	SRR3479243.12649449,SRR3479243.15777817,
chr10:131955684|131956211	chr10	131955684	131956211	2	2_2_0	162	0.024	exon	ENSG00000175470.18,	+	SRR3479243.8043499,SRR3479243.8126315,
chr10:133398435|133399619	chr10	133398435	133399619	4	2_0_3	186	0.041	exon	ENSG00000254536.1,ENSG00000148824.18,	+	SRR3479243.14555407,SRR3479243.16896097,SRR3479243.17053336,SRR3479243.9860900,
chr10:133398435|133399653	chr10	133398435	133399653	2	1_1_1	150	0.026	exon	ENSG00000148824.18,	+	SRR3479243.2304740,SRR3479243.13364615,
chr11:678694|681089	chr11	678694	681089	2	1_2_0	773	0.005	exon	ENSG00000177030.16,	-	SRR3479243.17709855,SRR3479243.15801641,
chr11:3731391|3744649	chr11	3731391	3744649	2	2_2_0	166	0.024	exon	ENSG00000110713.15,	-	SRR3479243.18737334,SRR3479243.19686993,
chr11:3768581|3776021	chr11	3768581	3776021	2	2_2_0	229	0.017	exon	ENSG00000110713.15,	-	SRR3479243.1786703,SRR3479243.20260766,
chr11:3773632|3776021	chr11	3773632	3776021	2	1_2_1	359	0.011	exon	ENSG00000110713.15,	-	SRR3479243.13381352,SRR3479243.13825434,
chr11:6941571|6955782	chr11	6941571	6955782	9	3_3_7	28	0.391	exon	ENSG00000149054.15,	+	SRR3479243.8558308,SRR3479243.21384076,SRR3479243.26067462,SRR3479243.4656240,SRR3479243.27958654,SRR3479243.1567328,SRR3479243.24706606,SRR3479243.20846296,SRR3479243.3248189,
chr11:8435494|8464822	chr11	8435494	8464822	6	2_3_1	25	0.324	exon	ENSG00000130413.15,	-	SRR3479243.247062,SRR3479243.21946675,SRR3479243.10918550,SRR3479243.5189719,SRR3479243.5777832,SRR3479243.28741742,
chr11:8452822|8464822	chr11	8452822	8464822	3	2_3_1	39	0.133	exon	ENSG00000130413.15,	-	SRR3479243.17106308,SRR3479243.4285113,SRR3479243.29602252,
chr11:9420411|9425262	chr11	9420411	9425262	2	1_1_1	166	0.024	exon	ENSG00000205339.9,	+	SRR3479243.22337499,SRR3479243.7573784,
chr11:9429674|9431003	chr11	9429674	9431003	13	12_10_0	60	0.302	exon	ENSG00000205339.9,	+	SRR3479243.1033091,SRR3479243.15162131,SRR3479243.23858698,SRR3479243.24159735,SRR3479243.9052140,SRR3479243.19949385,SRR3479243.27830155,SRR3479243.10722152,SRR3479243.11233956,SRR3479243.4530586,SRR3479243.28651053,SRR3479243.24522797,SRR3479243.19386578,
chr11:11327086|11341004	chr11	11327086	11341004	2	1_1_2	19	0.174	exon	ENSG00000110328.5,	-	SRR3479243.22538076,SRR3479243.20096637,
chr11:11372515|11379264	chr11	11372515	11379264	4	3_3_1	32	0.200	exon	ENSG00000110328.5,	-	SRR3479243.15013172,SRR3479243.7414329,SRR3479243.7638458,SRR3479243.28896825,
chr11:13413530|13421838	chr11	13413530	13421838	4	3_3_0	41	0.163	exon	ENSG00000148925.10,	-	SRR3479243.9466455,SRR3479243.4368466,SRR3479243.28269497,SRR3479243.29700036,
chr11:13413530|13445181	chr11	13413530	13445181	4	3_4_0	14	0.364	exon	ENSG00000148925.10,	-	SRR3479243.24540243,SRR3479243.8776511,SRR3479243.4616567,SRR3479243.19148904,
chr11:14771937|14789242	chr11	14771937	14789242	8	3_8_4	40	0.286	exon	ENSG00000152270.8,	+	SRR3479243.2538496,SRR3479243.16074081,SRR3479243.21164841,SRR3479243.21577827,SRR3479243.25964067,SRR3479243.4381520,SRR3479243.30234296,SRR3479243.24177668,
chr11:14859043|14861366	chr11	14859043	14861366	2	2_2_0	16	0.200	exon	ENSG00000152270.8,	+	SRR3479243.26289427,SRR3479243.9550121,
chr11:16318446|16341252	chr11	16318446	16341252	3	2_3_0	13	0.316	exon	ENSG00000110693.16,	-	SRR3479243.14911002,SRR3479243.25786629,SRR3479243.19713619,
chr11:17145668|17145942	chr11	17145668	17145942	2	1_1_2	97	0.040	exon	ENSG00000011405.13,	-	SRR3479243.11841561,SRR3479243.28385998,
chr11:17145668|17155629	chr11	17145668	17155629	2	1_1_2	103	0.037	exon	ENSG00000011405.13,	-	SRR3479243.8250086,SRR3479243.26068106,
chr11:17295324|17301870	chr11	17295324	17301870	3	3_1_0	149	0.039	exon	ENSG00000070081.15,	+	SRR3479243.29940170,SRR3479243.16849467,SRR3479243.30293834,
chr11:17878208|18008076	chr11	17878208	18008076	2	1_2_1	88	0.043	exon	ENSG00000129158.10,	-	SRR3479243.22499775,SRR3479243.30677464,
chr11:17878208|18010139	chr11	17878208	18010139	6	1_2_5	47	0.203	exon	ENSG00000129158.10,	-	SRR3479243.24145657,SRR3479243.7581956,SRR3479243.7675233,SRR3479243.19666678,SRR3479243.24665585,SRR3479243.9637751,
chr11:17959470|18010139	chr11	17959470	18010139	3	2_0_2	31	0.162	exon	ENSG00000129158.10,	-	SRR3479243.706938,SRR3479243.7403879,SRR3479243.3908711,
chr11:17988597|18010139	chr11	17988597	18010139	2	2_2_0	51	0.073	exon	ENSG00000129158.10,	-	SRR3479243.15600033,SRR3479243.22796746,
chr11:18083535|18089510	chr11	18083535	18089510	2	2_2_0	44	0.083	exon	ENSG00000166788.9,	-	SRR3479243.2515015,SRR3479243.13519182,
chr11:18291442|18292976	chr11	18291442	18292976	5	4_2_2	18	0.357	exon	ENSG00000110756.17,	-	SRR3479243.12511707,SRR3479243.13291320,SRR3479243.19993524,SRR3479243.4162455,SRR3479243.5712943,
chr11:18502486|18519603	chr11	18502486	18519603	2	1_0_2	100	0.038	exon	ENSG00000074319.12,	-	SRR3479243.4478166,SRR3479243.20877865,
chr11:18514678|18516164	chr11	18514678	18516164	3	2_0_2	182	0.032	exon	ENSG00000074319.12,	-	SRR3479243.18166147,SRR3479243.23574835,SRR3479243.8554972,
chr11:20395803|20397721	chr11	20395803	20397721	2	2_2_0	96	0.040	exon	ENSG00000185238.12,	+	SRR3479243.21737388,SRR3479243.5198339,
chr11:22203804|22227586	chr11	22203804	22227586	3	0_3_2	32	0.158	exon	ENSG00000171714.10,	+	SRR3479243.16462860,SRR3479243.9350879,SRR3479243.2362014,
chr11:22203804|22239684	chr11	22203804	22239684	5	0_4_5	24	0.294	exon	ENSG00000171714.10,	+	SRR3479243.13381232,SRR3479243.20129312,SRR3479243.9459641,SRR3479243.29143993,SRR3479243.7099894,
chr11:28058926|28091513	chr11	28058926	28091513	2	2_1_0	84	0.045	exon	ENSG00000121621.6,	-	SRR3479243.23220651,SRR3479243.25741428,
chr11:28077007|28091513	chr11	28077007	28091513	4	2_1_2	91	0.081	exon	ENSG00000121621.6,	-	SRR3479243.21173007,SRR3479243.29148643,SRR3479243.29330607,SRR3479243.19177521,
chr11:32588594|32589641	chr11	32588594	32589641	3	3_2_0	537	0.011	exon	ENSG00000149100.12,	+	SRR3479243.27407533,SRR3479243.9506070,SRR3479243.6703166,
chr11:32927157|32935435	chr11	32927157	32935435	10	9_9_1	55	0.267	exon	ENSG00000060749.14,	+	SRR3479243.2950541,SRR3479243.14716416,SRR3479243.22079852,SRR3479243.22823582,SRR3479243.24668616,SRR3479243.7853024,SRR3479243.25527987,SRR3479243.9801865,SRR3479243.9842796,SRR3479243.12245116,
chr11:32927157|32947729	chr11	32927157	32947729	2	2_0_2	15	0.211	intron	ENSG00000060749.14,	+	SRR3479243.22395968,SRR3479243.31015459,
chr11:33141667|33161369	chr11	33141667	33161369	3	2_1_1	124	0.046	exon	ENSG00000176102.11,	-	SRR3479243.19874235,SRR3479243.11557375,SRR3479243.12180424,
chr11:33286413|33287511	chr11	33286413	33287511	76	39_39_2	21	0.879	exon	ENSG00000110422.11,	+	SRR3479243.109212,SRR3479243.1232265,SRR3479243.1740813,SRR3479243.1809894,SRR3479243.2136427,SRR3479243.2263495,SRR3479243.2263822,SRR3479243.2443806,SRR3479243.2757035,SRR3479243.12508500,SRR3479243.12529598,SRR3479243.12583624,SRR3479243.12595893,SRR3479243.13743296,SRR3479243.14198426,SRR3479243.14405731,SRR3479243.14975690,SRR3479243.15204382,SRR3479243.15861578,SRR3479243.16086903,SRR3479243.16479288,SRR3479243.16776337,SRR3479243.17054578,SRR3479243.17438687,SRR3479243.18176873,SRR3479243.22495080,SRR3479243.22502427,SRR3479243.23746390,SRR3479243.24512271,SRR3479243.7119945,SRR3479243.7771089,SRR3479243.8107963,SRR3479243.8179987,SRR3479243.8440581,SRR3479243.8623524,SRR3479243.8671875,SRR3479243.8959802,SRR3479243.9308540,SRR3479243.9310190,SRR3479243.19194642,SRR3479243.19264840,SRR3479243.19446695,SRR3479243.19611216,SRR3479243.20264195,SRR3479243.20992243,SRR3479243.25349428,SRR3479243.25434172,SRR3479243.25527808,SRR3479243.26904319,SRR3479243.26946967,SRR3479243.27087441,SRR3479243.27384452,SRR3479243.27686113,SRR3479243.9399455,SRR3479243.9982841,SRR3479243.10072840,SRR3479243.10415946,SRR3479243.11101293,SRR3479243.11814919,SRR3479243.3684911,SRR3479243.3928018,SRR3479243.4728862,SRR3479243.4817063,SRR3479243.5322503,SRR3479243.5459317,SRR3479243.28627779,SRR3479243.28749075,SRR3479243.28951789,SRR3479243.29137491,SRR3479243.30218088,SRR3479243.30649788,SRR3479243.30880233,SRR3479243.30916937,SRR3479243.23515043,SRR3479243.9635159,SRR3479243.10784296,
chr11:34071726|34076642	chr11	34071726	34076642	4	2_2_4	290	0.027	exon	ENSG00000135387.20,	+	SRR3479243.20568875,SRR3479243.27229079,SRR3479243.12064043,SRR3479243.30411591,
chr11:34079628|34089456	chr11	34079628	34089456	4	2_0_2	437	0.018	exon	ENSG00000135387.20,	+	SRR3479243.551381,SRR3479243.15626967,SRR3479243.4141247,SRR3479243.27960551,
chr11:34086064|34086413	chr11	34086064	34086413	2	2_2_0	609	0.007	exon	ENSG00000135387.20,	+	SRR3479243.14882264,SRR3479243.7459933,
chr11:34086064|34092056	chr11	34086064	34092056	5	5_5_0	649	0.015	exon	ENSG00000135387.20,	+	SRR3479243.13751847,SRR3479243.14020898,SRR3479243.8417867,SRR3479243.19894904,SRR3479243.25979902,
chr11:34089395|34092056	chr11	34089395	34092056	3	0_2_3	612	0.010	exon	ENSG00000135387.20,	+	SRR3479243.21355327,SRR3479243.21459551,SRR3479243.11179566,
chr11:34090179|34090678	chr11	34090179	34090678	3	3_3_0	804	0.007	exon	ENSG00000135387.20,	+	SRR3479243.22077890,SRR3479243.27014519,SRR3479243.11613413,
chr11:34090179|34092056	chr11	34090179	34092056	3	2_2_1	703	0.008	exon	ENSG00000135387.20,	+	SRR3479243.1531769,SRR3479243.24486724,SRR3479243.30045640,
chr11:34957384|34978182	chr11	34957384	34978182	4	4_0_3	88	0.083	exon	ENSG00000110435.11,	+	SRR3479243.17967435,SRR3479243.21103916,SRR3479243.27318356,SRR3479243.21244914,
chr11:34970139|34984728	chr11	34970139	34984728	2	2_2_0	105	0.037	exon	ENSG00000110435.11,	+	SRR3479243.674152,SRR3479243.30219937,
chr11:36227085|36227430	chr11	36227085	36227430	21	14_15_2	42	0.500	exon	ENSG00000179241.12,	+	SRR3479243.12762136,SRR3479243.13696677,SRR3479243.14671443,SRR3479243.15641643,SRR3479243.24549682,SRR3479243.6726425,SRR3479243.8490700,SRR3479243.8631976,SRR3479243.20482804,SRR3479243.26958054,SRR3479243.27121242,SRR3479243.10324895,SRR3479243.12409096,SRR3479243.4995021,SRR3479243.5946186,SRR3479243.29713144,SRR3479243.22776085,SRR3479243.19761641,SRR3479243.26854055,SRR3479243.10359832,SRR3479243.10862137,
chr11:44107683|44126955	chr11	44107683	44126955	2	2_2_0	144	0.027	exon	ENSG00000151348.13,	+	SRR3479243.14641019,SRR3479243.23421383,
chr11:45862060|45872233	chr11	45862060	45872233	2	0_2_2	26	0.133	exon	ENSG00000121671.11,	+	SRR3479243.2819291,SRR3479243.15371785,
chr11:46076754|46092223	chr11	46076754	46092223	14	5_3_13	126	0.182	exon	ENSG00000135365.15,	-	SRR3479243.611137,SRR3479243.1211936,SRR3479243.12656956,SRR3479243.17174178,SRR3479243.23487852,SRR3479243.27191693,SRR3479243.4173736,SRR3479243.28130166,SRR3479243.29867315,SRR3479243.22341133,SRR3479243.19975503,SRR3479243.20348619,SRR3479243.27094115,SRR3479243.5208486,
chr11:46084166|46092223	chr11	46084166	46092223	2	2_0_2	93	0.041	exon	ENSG00000135365.15,	-	SRR3479243.8013845,SRR3479243.25316745,
chr11:46493608|46508370	chr11	46493608	46508370	4	3_4_1	24	0.250	exon	ENSG00000110497.14,	-	SRR3479243.16557155,SRR3479243.17249131,SRR3479243.7645360,SRR3479243.4722968,
chr11:46493608|46512813	chr11	46493608	46512813	6	3_5_2	26	0.316	exon	ENSG00000110497.14,	-	SRR3479243.14141138,SRR3479243.18990262,SRR3479243.20818098,SRR3479243.21199136,SRR3479243.27724833,SRR3479243.28317239,
chr11:46508191|46512813	chr11	46508191	46512813	2	2_2_0	22	0.154	exon	ENSG00000110497.14,	-	SRR3479243.19618509,SRR3479243.26491126,
chr11:46758923|46760784	chr11	46758923	46760784	2	2_2_0	280	0.014	exon	ENSG00000175216.14,	-	SRR3479243.880151,SRR3479243.2905824,
chr11:47166268|47168251	chr11	47166268	47168251	2	2_2_0	117	0.033	exon	ENSG00000149182.14,	-	SRR3479243.5252733,SRR3479243.28516045,
chr11:47422574|47422973	chr11	47422574	47422973	2	2_2_0	220	0.018	exon	ENSG00000165916.8,	-	SRR3479243.25167218,SRR3479243.11195405,
chr11:59658866|59659469	chr11	59658866	59659469	4	2_3_1	44	0.154	exon	ENSG00000166889.13,	-	SRR3479243.13398769,SRR3479243.19717339,SRR3479243.28045034,SRR3479243.29028994,
chr11:60919686|60920988	chr11	60919686	60920988	2	2_2_0	137	0.028	exon	ENSG00000110108.9,	+	SRR3479243.8782530,SRR3479243.8811078,
chr11:61366045|61367998	chr11	61366045	61367998	4	2_3_2	67	0.107	exon	ENSG00000149483.11,	+	SRR3479243.2184930,SRR3479243.5439118,SRR3479243.30507009,SRR3479243.17433109,
chr11:61437625|61438113	chr11	61437625	61438113	17	14_12_2	219	0.134	exon	ENSG00000256591.5,ENSG00000167985.6,	+	SRR3479243.15680879,SRR3479243.16334040,SRR3479243.18632345,SRR3479243.22155001,SRR3479243.22928452,SRR3479243.6544206,SRR3479243.6865775,SRR3479243.7744618,SRR3479243.18699850,SRR3479243.19538182,SRR3479243.21718046,SRR3479243.25530529,SRR3479243.9715899,SRR3479243.28913245,SRR3479243.30680214,SRR3479243.23890216,SRR3479243.5741095,
chr11:62638983|62639731	chr11	62638983	62639731	2	1_1_1	331	0.012	exon	ENSG00000089597.16,	-	SRR3479243.21804958,SRR3479243.6858830,
chr11:63895159|63895633	chr11	63895159	63895633	2	2_0_1	49	0.075	exon	ENSG00000072518.20,	+	SRR3479243.14085846,SRR3479243.14332256,
chr11:64194189|64197974	chr11	64194189	64197974	2	2_1_1	245	0.016	exon	ENSG00000168439.16,	+	SRR3479243.14644835,SRR3479243.26888911,
chr11:64203125|64203622	chr11	64203125	64203622	2	2_1_0	66	0.057	exon	ENSG00000168439.16,	+	SRR3479243.23654827,SRR3479243.24398375,
chr11:66063628|66068333	chr11	66063628	66068333	2	2_2_0	772	0.005	exon	ENSG00000087365.15,	+	SRR3479243.892240,SRR3479243.11288084,
chr11:66639678|66640123	chr11	66639678	66640123	2	2_2_0	191	0.021	exon	ENSG00000173933.19,	+	SRR3479243.8285744,SRR3479243.29960552,
chr11:66639700|66640123	chr11	66639700	66640123	15	6_8_0	246	0.109	exon	ENSG00000173933.19,ENSG00000248643.5,	+	SRR3479243.31840,SRR3479243.127282,SRR3479243.13817822,SRR3479243.23101399,SRR3479243.24780421,SRR3479243.7545985,SRR3479243.8061813,SRR3479243.26027379,SRR3479243.26791994,SRR3479243.9369642,SRR3479243.11486376,SRR3479243.30550422,SRR3479243.8382609,SRR3479243.18766720,SRR3479243.28402254,
chr11:68166982|68190152	chr11	68166982	68190152	2	2_2_0	84	0.045	exon	ENSG00000110066.14,	-	SRR3479243.22594343,SRR3479243.7581690,
chr11:68347847|68348243	chr11	68347847	68348243	2	2_2_0	54	0.069	exon	ENSG00000162337.11,	+	SRR3479243.6338275,SRR3479243.19231808,
chr11:68347847|68365702	chr11	68347847	68365702	3	3_3_0	32	0.158	exon	ENSG00000162337.11,	+	SRR3479243.20300078,SRR3479243.27098095,SRR3479243.28200497,
chr11:68519501|68537891	chr11	68519501	68537891	3	3_3_0	77	0.072	exon	ENSG00000110075.14,	+	SRR3479243.2158523,SRR3479243.22865738,SRR3479243.29441301,
chr11:68551121|68564432	chr11	68551121	68564432	5	1_4_3	346	0.028	exon	ENSG00000110075.14,	+	SRR3479243.18812719,SRR3479243.11409479,SRR3479243.29466774,SRR3479243.27528536,SRR3479243.28951855,
chr11:68567014|68576043	chr11	68567014	68576043	2	2_2_0	187	0.021	exon	ENSG00000110075.14,	+	SRR3479243.21527694,SRR3479243.28051624,
chr11:68567014|68596218	chr11	68567014	68596218	3	3_3_0	214	0.027	exon	ENSG00000110075.14,	+	SRR3479243.21511755,SRR3479243.28632006,SRR3479243.29242139,
chr11:68567014|68603492	chr11	68567014	68603492	2	2_2_0	130	0.030	exon	ENSG00000110075.14,	+	SRR3479243.26975405,SRR3479243.3767755,
chr11:68569748|68596218	chr11	68569748	68596218	2	2_2_0	268	0.015	exon	ENSG00000110075.14,	+	SRR3479243.17659845,SRR3479243.24541707,
chr11:68596097|68603492	chr11	68596097	68603492	2	2_2_0	192	0.020	exon	ENSG00000110075.14,	+	SRR3479243.16328746,SRR3479243.29727846,
